"Survey";"Year";"Haul";"Month";"Stratum";"SweptSurface";"Lat";"Long";"Depth"
"MEDITS-GSA18";1994;75;6;2;0.045;40.22358;18.53258;93
"MEDITS-GSA18";1994;76;6;2;0.044;40.31842;18.43508;86
"MEDITS-GSA18";1994;77;6;4;0.093;40.37383;18.621;344
"MEDITS-GSA18";1994;78;6;5;0.093;40.34075;18.63775;557
"MEDITS-GSA18";1994;79;6;3;0.046;40.39017;18.60033;197
"MEDITS-GSA18";1994;80;6;1;0.041;41.10967;16.99208;44
"MEDITS-GSA18";1994;81;6;3;0.046;40.41367;18.60342;194
"MEDITS-GSA18";1994;82;6;4;0.093;40.5675;18.593;327
"MEDITS-GSA18";1994;83;6;3;0.045;40.648;18.40158;125
"MEDITS-GSA18";1994;84;6;3;0.045;40.61258;18.49142;132
"MEDITS-GSA18";1994;85;6;4;0.093;40.64583;18.59108;314
"MEDITS-GSA18";1994;86;6;5;0.093;40.67542;18.65092;578
"MEDITS-GSA18";1994;87;6;5;0.093;40.56275;18.63183;625.5
"MEDITS-GSA18";1994;88;6;2;0.044;40.5765;18.24442;78
"MEDITS-GSA18";1994;89;6;3;0.043;40.65508;18.326;125
"MEDITS-GSA18";1994;90;6;3;0.045;40.663;18.39633;107
"MEDITS-GSA18";1994;91;6;5;0.093;40.73042;18.5915;594
"MEDITS-GSA18";1994;92;6;4;0.093;40.70017;18.52742;248
"MEDITS-GSA18";1994;93;6;3;0.045;40.72808;18.3455;135
"MEDITS-GSA18";1994;94;6;4;0.09;40.758;18.37433;397
"MEDITS-GSA18";1994;95;6;3;0.045;40.7335;18.285;132
"MEDITS-GSA18";1994;96;6;4;0.09;40.80158;18.29283;363
"MEDITS-GSA18";1994;97;6;3;0.045;40.81233;17.94967;116
"MEDITS-GSA18";1994;98;6;5;0.09;40.8165;18.33492;560
"MEDITS-GSA18";1994;99;6;1;0.042;41.117;16.99533;45
"MEDITS-GSA18";1994;100;6;1;0.041;41.20525;16.71967;41
"MEDITS-GSA18";1994;101;6;2;0.044;40.88742;17.52283;74
"MEDITS-GSA18";1994;102;6;3;0.045;41.12633;17.20017;116
"MEDITS-GSA18";1994;103;6;3;0.045;41.14625;17.12942;119
"MEDITS-GSA18";1994;104;6;2;0.044;41.13242;17.04325;81.5
"MEDITS-GSA18";1994;105;6;2;0.042;41.19258;16.80442;58
"MEDITS-GSA18";1994;106;6;3;0.044;41.23108;16.93117;114.5
"MEDITS-GSA18";1994;107;6;3;0.045;41.229;17.10808;137.5
"MEDITS-GSA18";1994;108;7;3;0.09;41.31692;16.77275;104.5
"MEDITS-GSA18";1994;109;7;1;0.041;41.24575;16.62242;36.5
"MEDITS-GSA18";1994;110;7;3;0.045;41.45167;17.00283;149
"MEDITS-GSA18";1994;111;7;3;0.045;41.43525;16.83375;116
"MEDITS-GSA18";1994;112;7;2;0.042;41.29983;16.58042;61
"MEDITS-GSA18";1994;113;7;3;0.046;41.46592;16.817;116
"MEDITS-GSA18";1994;114;7;2;0.042;41.34683;16.54108;61
"MEDITS-GSA18";1994;115;7;1;0.039;41.32692;16.44625;28
"MEDITS-GSA18";1994;116;7;5;0.093;41.55483;17.17683;594
"MEDITS-GSA18";1994;117;7;1;0.042;41.81775;16.34858;45
"MEDITS-GSA18";1994;118;7;1;0.039;41.78883;16.34017;36
"MEDITS-GSA18";1994;119;7;1;0.039;41.71267;16.278;20.5
"MEDITS-GSA18";1994;120;7;1;0.039;41.687;16.21567;15
"MEDITS-GSA18";1994;121;7;1;0.039;41.65525;16.20367;15.5
"MEDITS-GSA18";1994;122;7;1;0.039;41.736;16.35125;37
"MEDITS-GSA18";1994;123;7;1;0.034;41.61717;16.34392;32
"MEDITS-GSA18";1994;124;7;1;0.036;41.58033;16.39642;41
"MEDITS-GSA18";1994;125;7;1;0.042;41.52508;16.39117;45
"MEDITS-GSA18";1994;126;7;2;0.043;41.7605;16.48017;78
"MEDITS-GSA18";1994;127;7;2;0.043;41.67625;16.50725;78
"MEDITS-GSA18";1994;128;7;2;0.043;41.6495;16.54483;83
"MEDITS-GSA18";1994;129;7;2;0.042;41.6215;16.40042;58
"MEDITS-GSA18";1994;130;7;2;0.043;41.54458;16.52992;74
"MEDITS-GSA18";1994;131;7;2;0.043;41.46708;16.57767;83
"MEDITS-GSA18";1994;132;7;3;0.045;41.93108;16.56708;116
"MEDITS-GSA18";1994;133;7;3;0.046;41.90167;16.69025;149
"MEDITS-GSA18";1994;134;7;3;0.046;41.86092;16.7085;149
"MEDITS-GSA18";1994;135;7;3;0.045;41.6995;16.70117;106
"MEDITS-GSA18";1994;136;7;3;0.044;41.60275;16.80942;116
"MEDITS-GSA18";1994;137;7;3;0.045;41.57033;16.95892;165
"MEDITS-GSA18";1994;138;7;3;0.044;41.56492;16.67683;102
"MEDITS-GSA18";1994;139;7;4;0.092;41.93175;16.81442;231
"MEDITS-GSA18";1994;140;7;4;0.092;41.87633;16.86792;272
"MEDITS-GSA18";1994;141;7;4;0.092;41.793;16.8775;239
"MEDITS-GSA18";1994;142;7;4;0.092;41.56692;17.01217;231
"MEDITS-GSA18";1994;143;7;5;0.093;42.0195;17.013;602
"MEDITS-GSA18";1994;144;7;5;0.093;42.08375;17.00892;602
"MEDITS-GSA18";1994;145;7;5;0.031;41.65525;17.09108;578
"MEDITS-GSA18";1994;146;7;5;0.093;41.63442;17.1055;569
"MEDITS-GSA18";1995;75;6;2;0.048;40.23492;18.52867;91.5
"MEDITS-GSA18";1995;76;6;2;0.046;40.31908;18.43783;88.5
"MEDITS-GSA18";1995;77;6;4;0.104;40.34158;18.61742;371.5
"MEDITS-GSA18";1995;78;6;5;0.102;40.37858;18.63967;552.5
"MEDITS-GSA18";1995;79;6;3;0.049;40.39133;18.599;186.5
"MEDITS-GSA18";1995;80;6;1;0.043;41.11942;16.98417;37.5
"MEDITS-GSA18";1995;81;6;3;0.049;40.42375;18.59783;187.5
"MEDITS-GSA18";1995;82;6;4;0.1;40.59058;18.5755;313.5
"MEDITS-GSA18";1995;83;6;3;0.048;40.67008;18.42667;116
"MEDITS-GSA18";1995;84;6;3;0.048;40.62092;18.48125;122
"MEDITS-GSA18";1995;85;6;4;0.101;40.66225;18.569;492.5
"MEDITS-GSA18";1995;86;6;5;0.105;40.69092;18.58883;643.5
"MEDITS-GSA18";1995;87;6;5;0.105;40.57025;18.63067;561.5
"MEDITS-GSA18";1995;88;6;2;0.047;40.56117;18.25392;81.5
"MEDITS-GSA18";1995;89;6;3;0.045;40.66783;18.32308;118
"MEDITS-GSA18";1995;90;6;3;0.048;40.65392;18.41417;120
"MEDITS-GSA18";1995;91;6;5;0.102;40.72342;18.58642;660
"MEDITS-GSA18";1995;92;6;4;0.101;40.66933;18.52958;371.5
"MEDITS-GSA18";1995;93;6;3;0.051;40.72675;18.34417;149.5
"MEDITS-GSA18";1995;94;6;4;0.101;40.73833;18.39158;330
"MEDITS-GSA18";1995;95;6;3;0.051;40.72858;18.26458;116
"MEDITS-GSA18";1995;96;6;4;0.081;40.80033;18.2865;373
"MEDITS-GSA18";1995;97;6;3;0.045;40.80675;17.95567;109
"MEDITS-GSA18";1995;98;6;5;0.102;40.81917;18.32492;628.5
"MEDITS-GSA18";1995;99;6;1;0.046;41.1215;16.98758;43
"MEDITS-GSA18";1995;100;7;1;0.043;41.21283;16.71167;45.5
"MEDITS-GSA18";1995;101;6;2;0.046;40.88158;17.54;64.5
"MEDITS-GSA18";1995;102;6;3;0.051;41.1245;17.19592;112.5
"MEDITS-GSA18";1995;103;6;3;0.051;41.14942;17.12633;114.5
"MEDITS-GSA18";1995;104;6;2;0.048;41.13517;17.03875;84
"MEDITS-GSA18";1995;105;6;1;0.043;41.19175;16.78858;50
"MEDITS-GSA18";1995;106;6;3;0.048;41.233;16.92917;111.5
"MEDITS-GSA18";1995;107;6;3;0.049;41.22117;17.11292;131
"MEDITS-GSA18";1995;108;6;2;0.048;41.31925;16.78533;99
"MEDITS-GSA18";1995;109;7;1;0.046;41.24167;16.63075;39
"MEDITS-GSA18";1995;110;7;3;0.032;41.43867;16.97667;132
"MEDITS-GSA18";1995;111;7;3;0.049;41.42425;16.83917;113.5
"MEDITS-GSA18";1995;112;7;2;0.044;41.29408;16.59567;51.5
"MEDITS-GSA18";1995;113;7;3;0.048;41.46233;16.81292;111.5
"MEDITS-GSA18";1995;114;7;2;0.044;41.33917;16.53783;52
"MEDITS-GSA18";1995;115;7;1;0.043;41.3355;16.44658;28
"MEDITS-GSA18";1995;116;7;5;0.102;41.58217;17.16958;561
"MEDITS-GSA18";1995;117;7;1;0.044;41.80833;16.37458;47
"MEDITS-GSA18";1995;118;7;1;0.044;41.7165;16.38667;47
"MEDITS-GSA18";1995;119;7;1;0.043;41.70067;16.31925;31
"MEDITS-GSA18";1995;120;7;1;0.041;41.70108;16.26892;17.5
"MEDITS-GSA18";1995;121;7;1;0.041;41.68867;16.22867;15
"MEDITS-GSA18";1995;122;7;1;0.043;41.68217;16.37467;43
"MEDITS-GSA18";1995;123;7;1;0.043;41.57758;16.36033;38
"MEDITS-GSA18";1995;124;7;1;0.044;41.59425;16.39925;47.5
"MEDITS-GSA18";1995;125;7;1;0.044;41.52908;16.39167;44.5
"MEDITS-GSA18";1995;126;7;2;0.046;41.73725;16.47425;76.5
"MEDITS-GSA18";1995;127;7;2;0.047;41.63633;16.52792;82
"MEDITS-GSA18";1995;128;7;2;0.047;41.608;16.54442;83
"MEDITS-GSA18";1995;129;7;2;0.044;41.61025;16.40525;55.5
"MEDITS-GSA18";1995;130;7;2;0.046;41.539;16.52583;76
"MEDITS-GSA18";1995;131;7;2;0.047;41.48217;16.55392;77
"MEDITS-GSA18";1995;132;7;3;0.048;41.92025;16.59;114
"MEDITS-GSA18";1995;133;7;3;0.049;41.90358;16.683;137.5
"MEDITS-GSA18";1995;134;7;3;0.048;41.87542;16.69575;136.5
"MEDITS-GSA18";1995;135;7;3;0.048;41.69983;16.67683;107.5
"MEDITS-GSA18";1995;136;7;3;0.051;41.5865;16.81817;121.5
"MEDITS-GSA18";1995;137;7;3;0.049;41.57467;16.93458;152.5
"MEDITS-GSA18";1995;138;7;3;0.048;41.58258;16.6765;101
"MEDITS-GSA18";1995;139;7;4;0.099;41.92283;16.82017;223.5
"MEDITS-GSA18";1995;140;7;4;0.104;41.88283;16.8625;255
"MEDITS-GSA18";1995;141;7;4;0.099;41.80875;16.87517;234
"MEDITS-GSA18";1995;142;7;4;0.099;41.57208;17.02983;297
"MEDITS-GSA18";1995;143;7;5;0.105;42.02075;17.0085;592
"MEDITS-GSA18";1995;144;7;5;0.108;42.05367;17.0065;575
"MEDITS-GSA18";1995;145;7;5;0.102;41.61025;17.13742;553
"MEDITS-GSA18";1995;146;7;5;0.102;41.62042;17.13825;553
"MEDITS-GSA18";1996;75;6;2;0.044;40.22692;18.52867;90.5
"MEDITS-GSA18";1996;76;6;2;0.047;40.32442;18.43708;90
"MEDITS-GSA18";1996;77;6;4;0.099;40.35983;18.61917;407.5
"MEDITS-GSA18";1996;78;6;5;0.096;40.40625;18.632;510
"MEDITS-GSA18";1996;79;6;4;0.052;40.40467;18.60133;237.5
"MEDITS-GSA18";1996;80;7;1;0.049;41.11833;16.9885;40.5
"MEDITS-GSA18";1996;81;6;3;0.048;40.65333;18.51633;179
"MEDITS-GSA18";1996;82;6;4;0.091;40.65217;18.53125;282
"MEDITS-GSA18";1996;83;6;3;0.052;40.64925;18.4245;122.5
"MEDITS-GSA18";1996;84;6;3;0.049;40.60975;18.48958;122
"MEDITS-GSA18";1996;85;6;4;0.091;40.65467;18.56725;473
"MEDITS-GSA18";1996;86;6;5;0.103;40.65758;18.59975;565
"MEDITS-GSA18";1996;87;6;5;0.094;40.67175;18.60675;510
"MEDITS-GSA18";1996;88;6;2;0.046;40.55717;18.26267;86.5
"MEDITS-GSA18";1996;89;6;3;0.052;40.66917;18.38525;119.5
"MEDITS-GSA18";1996;90;6;3;0.04;40.66317;18.41858;124
"MEDITS-GSA18";1996;91;6;5;0.097;40.70792;18.54067;511
"MEDITS-GSA18";1996;92;6;4;0.095;40.65617;18.532;312
"MEDITS-GSA18";1996;93;7;3;0.049;40.70025;18.32425;121.5
"MEDITS-GSA18";1996;94;6;4;0.094;40.72825;18.44683;392.5
"MEDITS-GSA18";1996;95;7;3;0.046;40.7185;18.28608;122.5
"MEDITS-GSA18";1996;96;6;4;0.09;40.78342;18.30625;392.5
"MEDITS-GSA18";1996;97;7;3;0.049;40.806;17.95192;107.5
"MEDITS-GSA18";1996;98;6;5;0.09;40.76233;18.39117;547.5
"MEDITS-GSA18";1996;99;7;1;0.049;41.1195;16.99183;44
"MEDITS-GSA18";1996;100;7;1;0.048;41.21392;16.7105;45.5
"MEDITS-GSA18";1996;101;7;2;0.047;40.87742;17.5405;60
"MEDITS-GSA18";1996;102;7;3;0.05;41.12933;17.1945;115.5
"MEDITS-GSA18";1996;103;7;3;0.051;41.149;17.15283;113.5
"MEDITS-GSA18";1996;104;7;2;0.043;41.13525;17.03808;84.5
"MEDITS-GSA18";1996;105;7;1;0.052;41.191;16.775;48.5
"MEDITS-GSA18";1996;106;7;3;0.051;41.21908;16.94233;107.5
"MEDITS-GSA18";1996;107;7;3;0.051;41.18808;17.09808;120
"MEDITS-GSA18";1996;108;7;2;0.048;41.45558;16.56083;80.5
"MEDITS-GSA18";1996;109;7;1;0.052;41.25342;16.62117;42
"MEDITS-GSA18";1996;110;7;3;0.05;41.45942;16.85292;127.5
"MEDITS-GSA18";1996;111;7;3;0.047;41.42733;16.85017;113
"MEDITS-GSA18";1996;112;7;2;0.054;41.2935;16.59708;52
"MEDITS-GSA18";1996;113;7;3;0.049;41.46042;16.871;120.5
"MEDITS-GSA18";1996;114;7;2;0.05;41.331;16.541;51.5
"MEDITS-GSA18";1996;115;7;1;0.042;41.28767;16.56858;44
"MEDITS-GSA18";1996;116;7;5;0.101;41.58375;17.16908;543.5
"MEDITS-GSA18";1996;117;7;1;0.043;41.79733;16.36933;48.5
"MEDITS-GSA18";1996;118;7;1;0.045;41.721;16.38183;46
"MEDITS-GSA18";1996;119;7;1;0.044;41.70775;16.33183;30.5
"MEDITS-GSA18";1996;120;7;1;0.042;41.66883;16.32192;28.5
"MEDITS-GSA18";1996;121;7;1;0.044;41.67842;16.26725;16
"MEDITS-GSA18";1996;122;7;1;0.044;41.64317;16.38275;43.5
"MEDITS-GSA18";1996;123;7;1;0.044;41.59158;16.36625;39.5
"MEDITS-GSA18";1996;124;7;1;0.046;41.60675;16.39842;47
"MEDITS-GSA18";1996;125;7;1;0.046;41.5215;16.393;45
"MEDITS-GSA18";1996;126;7;2;0.047;41.73158;16.45908;73.5
"MEDITS-GSA18";1996;127;7;2;0.048;41.61283;16.48267;71.5
"MEDITS-GSA18";1996;128;7;2;0.046;41.57633;16.50033;73.5
"MEDITS-GSA18";1996;129;7;2;0.044;41.60917;16.414;54
"MEDITS-GSA18";1996;130;7;2;0.047;41.53842;16.53742;77.5
"MEDITS-GSA18";1996;131;7;2;0.048;41.49267;16.54742;77
"MEDITS-GSA18";1996;132;7;3;0.049;41.91325;16.5995;115.5
"MEDITS-GSA18";1996;133;7;3;0.047;41.89408;16.664;131.5
"MEDITS-GSA18";1996;134;7;3;0.043;41.87392;16.68375;132
"MEDITS-GSA18";1996;135;7;3;0.047;41.506;16.84267;119
"MEDITS-GSA18";1996;136;7;3;0.048;41.493;16.85408;121.5
"MEDITS-GSA18";1996;137;7;3;0.049;41.49017;16.85042;129.5
"MEDITS-GSA18";1996;138;7;3;0.049;41.47267;16.83983;171.5
"MEDITS-GSA18";1996;139;7;4;0.07;41.92175;16.81983;222
"MEDITS-GSA18";1996;140;7;4;0.091;41.87425;16.854;239
"MEDITS-GSA18";1996;141;7;4;0.09;41.83492;16.86325;233.5
"MEDITS-GSA18";1996;142;7;4;0.058;41.54842;17.04942;366
"MEDITS-GSA18";1996;143;7;5;0.089;42.02683;16.99883;541
"MEDITS-GSA18";1996;144;7;5;0.097;42.05742;16.999;536.5
"MEDITS-GSA18";1996;145;7;5;0.092;41.62683;17.14225;537.5
"MEDITS-GSA18";1996;146;7;5;0.091;41.63242;17.11017;540
"MEDITS-GSA18";1997;75;6;2;0.046;40.22817;18.52783;90.5
"MEDITS-GSA18";1997;76;6;2;0.046;40.33492;18.43133;90.5
"MEDITS-GSA18";1997;77;6;4;0.09;40.36042;18.6185;406.5
"MEDITS-GSA18";1997;78;6;5;0.09;40.40533;18.634;503.5
"MEDITS-GSA18";1997;79;6;3;0.043;40.43267;18.58292;120.5
"MEDITS-GSA18";1997;80;7;1;0.041;41.12125;16.97975;42
"MEDITS-GSA18";1997;81;6;3;0.044;40.6435;18.52467;181
"MEDITS-GSA18";1997;82;6;4;0.09;40.65358;18.52867;281
"MEDITS-GSA18";1997;83;6;3;0.045;40.65033;18.42258;122.5
"MEDITS-GSA18";1997;84;6;3;0.046;40.60858;18.4875;120.5
"MEDITS-GSA18";1997;85;7;4;0.09;40.64667;18.57733;470.5
"MEDITS-GSA18";1997;86;7;5;0.09;40.65542;18.58658;530
"MEDITS-GSA18";1997;87;7;5;0.09;40.6425;18.59175;529.5
"MEDITS-GSA18";1997;88;6;2;0.045;40.58583;18.24417;87.5
"MEDITS-GSA18";1997;89;7;3;0.045;40.67;18.39158;123
"MEDITS-GSA18";1997;90;7;3;0.044;40.66417;18.41183;123.5
"MEDITS-GSA18";1997;91;7;5;0.09;40.70675;18.53342;509
"MEDITS-GSA18";1997;92;7;4;0.09;40.6575;18.53342;318
"MEDITS-GSA18";1997;93;7;3;0.043;40.69783;18.31783;121.5
"MEDITS-GSA18";1997;94;7;4;0.09;40.71658;18.46392;299.5
"MEDITS-GSA18";1997;95;7;3;0.046;40.70975;18.288;121.5
"MEDITS-GSA18";1997;96;7;4;0.09;40.774;18.318;363.5
"MEDITS-GSA18";1997;97;7;3;0.049;40.80558;17.94775;108.5
"MEDITS-GSA18";1997;98;7;5;0.09;40.75442;18.40567;534
"MEDITS-GSA18";1997;99;7;1;0.042;41.12225;16.98733;48
"MEDITS-GSA18";1997;100;7;1;0.044;41.20517;16.72625;45
"MEDITS-GSA18";1997;101;7;2;0.045;40.87317;17.5515;63.5
"MEDITS-GSA18";1997;102;7;3;0.043;41.11875;17.19983;115
"MEDITS-GSA18";1997;103;7;3;0.043;41.14125;17.17025;114.5
"MEDITS-GSA18";1997;104;7;2;0.044;41.13467;17.04175;86
"MEDITS-GSA18";1997;105;7;2;0.048;41.19358;16.78425;53
"MEDITS-GSA18";1997;106;7;3;0.046;41.21683;16.94483;109
"MEDITS-GSA18";1997;107;7;3;0.046;41.18408;17.09992;120.5
"MEDITS-GSA18";1997;108;7;2;0.046;41.46433;16.55508;77
"MEDITS-GSA18";1997;109;7;1;0.043;41.25067;16.6215;41
"MEDITS-GSA18";1997;110;7;3;0.046;41.43742;16.84183;112
"MEDITS-GSA18";1997;111;7;3;0.046;41.424;16.84692;112.5
"MEDITS-GSA18";1997;112;7;2;0.041;41.29975;16.58567;52.5
"MEDITS-GSA18";1997;113;7;3;0.046;41.45667;16.86533;118.5
"MEDITS-GSA18";1997;114;7;2;0.044;41.32892;16.54717;52
"MEDITS-GSA18";1997;115;7;1;0.041;41.29033;16.56783;44.5
"MEDITS-GSA18";1997;116;7;5;0.073;41.5865;17.15942;542.5
"MEDITS-GSA18";1997;117;7;1;0.042;41.79017;16.37125;48
"MEDITS-GSA18";1997;118;7;1;0.041;41.7235;16.38308;46.5
"MEDITS-GSA18";1997;119;7;1;0.04;41.70642;16.33833;31.5
"MEDITS-GSA18";1997;120;7;1;0.046;41.6675;16.32417;28.5
"MEDITS-GSA18";1997;121;7;1;0.039;41.67608;16.27167;17
"MEDITS-GSA18";1997;122;7;1;0.047;41.63692;16.38292;44
"MEDITS-GSA18";1997;123;7;1;0.047;41.589;16.36817;40.5
"MEDITS-GSA18";1997;124;7;1;0.045;41.60058;16.397;47.5
"MEDITS-GSA18";1997;125;7;1;0.044;41.5195;16.39283;45
"MEDITS-GSA18";1997;126;7;2;0.048;41.73242;16.46233;74
"MEDITS-GSA18";1997;127;7;2;0.043;41.60767;16.48533;72
"MEDITS-GSA18";1997;128;7;2;0.043;41.57367;16.5045;74
"MEDITS-GSA18";1997;129;7;2;0.042;41.60767;16.416;53
"MEDITS-GSA18";1997;130;7;2;0.043;41.5375;16.53608;77.5
"MEDITS-GSA18";1997;131;7;2;0.043;41.49233;16.54958;77.5
"MEDITS-GSA18";1997;132;7;3;0.045;41.92408;16.60867;119.5
"MEDITS-GSA18";1997;133;7;3;0.046;41.89133;16.66717;130.5
"MEDITS-GSA18";1997;134;7;3;0.043;41.87475;16.67775;131
"MEDITS-GSA18";1997;135;7;3;0.043;41.50733;16.84575;120.5
"MEDITS-GSA18";1997;136;7;3;0.043;41.5;16.85625;121.5
"MEDITS-GSA18";1997;137;7;3;0.043;41.49142;16.84833;119.5
"MEDITS-GSA18";1997;138;7;3;0.043;41.48258;16.83817;116
"MEDITS-GSA18";1997;139;7;4;0.069;41.91758;16.82375;222.5
"MEDITS-GSA18";1997;140;7;4;0.089;41.86308;16.85767;238
"MEDITS-GSA18";1997;141;7;4;0.096;41.83467;16.86342;233.5
"MEDITS-GSA18";1997;142;7;4;0.09;41.56042;17.07425;399
"MEDITS-GSA18";1997;143;7;5;0.09;42.02725;16.99658;535
"MEDITS-GSA18";1997;144;7;5;0.09;42.057;16.99833;542
"MEDITS-GSA18";1997;145;7;5;0.103;41.62342;17.13842;540
"MEDITS-GSA18";1997;146;7;5;0.09;41.62025;17.14392;540.5
"MEDITS-GSA18";1998;75;6;2;0.046;40.24233;18.5245;91
"MEDITS-GSA18";1998;76;6;2;0.046;40.34775;18.42492;92
"MEDITS-GSA18";1998;77;6;4;0.097;40.37942;18.6205;387.5
"MEDITS-GSA18";1998;78;6;5;0.097;40.42758;18.63325;525.5
"MEDITS-GSA18";1998;79;6;3;0.046;40.43417;18.53517;119
"MEDITS-GSA18";1998;80;6;1;0.044;41.12883;16.95925;37
"MEDITS-GSA18";1998;81;6;3;0.045;40.655;18.49017;145.5
"MEDITS-GSA18";1998;82;6;4;0.092;40.67267;18.5175;320
"MEDITS-GSA18";1998;83;6;3;0.045;40.67033;18.40075;120
"MEDITS-GSA18";1998;84;6;3;0.043;40.586;18.48517;114
"MEDITS-GSA18";1998;85;6;4;0.067;40.69592;18.52658;445
"MEDITS-GSA18";1998;86;6;5;0.093;40.66767;18.5775;533
"MEDITS-GSA18";1998;87;6;5;0.097;40.60283;18.61408;554.5
"MEDITS-GSA18";1998;88;6;2;0.044;40.57825;18.28142;91.5
"MEDITS-GSA18";1998;89;6;3;0.045;40.68375;18.38958;129.5
"MEDITS-GSA18";1998;90;6;3;0.049;40.65992;18.42142;120
"MEDITS-GSA18";1998;91;6;5;0.093;40.75383;18.48383;588
"MEDITS-GSA18";1998;92;6;4;0.099;40.65975;18.538;360
"MEDITS-GSA18";1998;93;6;3;0.046;40.69575;18.32525;117.5
"MEDITS-GSA18";1998;94;6;4;0.08;40.74208;18.40492;321.5
"MEDITS-GSA18";1998;95;6;3;0.046;40.70233;18.29425;119.5
"MEDITS-GSA18";1998;96;6;4;0.096;40.767;18.33817;355
"MEDITS-GSA18";1998;97;6;3;0.046;40.80683;17.96083;109
"MEDITS-GSA18";1998;98;6;5;0.064;40.77075;18.40108;552.5
"MEDITS-GSA18";1998;99;6;1;0.037;41.11758;17.00125;38.5
"MEDITS-GSA18";1998;100;6;1;0.044;41.206;16.72792;43
"MEDITS-GSA18";1998;101;6;2;0.043;40.86983;17.55358;61
"MEDITS-GSA18";1998;102;6;3;0.043;41.12183;17.20167;115
"MEDITS-GSA18";1998;103;6;3;0.061;41.15317;17.15533;115
"MEDITS-GSA18";1998;104;6;2;0.046;41.13492;17.04675;84.5
"MEDITS-GSA18";1998;105;6;2;0.044;41.19958;16.78808;53
"MEDITS-GSA18";1998;106;6;3;0.046;41.21417;16.94617;107
"MEDITS-GSA18";1998;107;6;3;0.048;41.17642;17.10542;118
"MEDITS-GSA18";1998;108;6;2;0.042;41.36092;16.574;66
"MEDITS-GSA18";1998;109;6;1;0.046;41.27508;16.59833;44
"MEDITS-GSA18";1998;110;6;3;0.048;41.44483;16.84133;112
