TYPE_OF_FILE;COUNTRY;AREA;VESSEL;GEAR;RIGGING;DOORS;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;SHOOTING_TIME;SHOOTING_QUADRANT;SHOOTING_LATITUDE;SHOOTING_LONGITUDE;SHOOTING_DEPTH;HAULING_TIME;HAULING_QUADRANT;HAULING_LATITUDE;HAULING_LONGITUDE;HAULING_DEPTH;HAUL_DURATION;VALIDITY;COURSE;RECORDED_SPECIES;DISTANCE;VERTICAL_OPENING;WING_OPENING;GEOMETRICAL_PRECISION;BRIDLES_LENGTH;WARP_LENGTH;WARP_DIAMETER;HYDROLOGICAL_STATION;OBSERVATIONS
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;23;86;S;1300;1;4039.25;1839.83000183105;570;1400;1;4041.79999923706;1838.2799987793;586;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;75;S;625;1;4012.78999996185;1832.47999954224;91;655;1;4014.03999996185;1831.43000030518;95;30;V;R;3;2685;20.9999990463257;166.000003814697;E;100;550;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;76;S;925;1;4018.23999977112;1826.64999961853;87;955;1;4019.96999931335;1825.55999946594;85;30;V;R;3;2685;20.9999990463257;165;E;100;500;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;79;S;1125;1;4022.70000076294;1836.13999938965;200;1155;1;4024.12000083923;1835.90000152588;194;30;V;R;3;2685;18.9999997615814;172.999992370605;E;100;1100;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;81;S;1245;1;4024.20999908447;1835.84999847412;198;1315;1;4025.43000030518;1836.56000137329;190;30;V;R;3;2685;18.9999997615814;170;E;100;750;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;77;S;1405;1;4023.81999969482;1837.5;347;1505;1;4021.04000091553;1837.02000045776;341;60;V;R;3;5371;20;173.999996185303;E;150;1200;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;25;78;S;750;1;4019.29999923706;1838.38999938965;553;850;1;4021.59000015259;1838.13999938965;561;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1750;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;25;87;S;1020;1;4032.47999954224;1838.11000061035;620;1120;1;4035.04999923706;1837.70999908447;631;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;25;90;S;1600;1;4039.59999847412;1825.07999992371;105;1630;1;4039.95999908447;1822.47999954224;109;30;V;R;3;2685;18.9999997615814;166.000003814697;E;100;550;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;26;91;S;830;1;4044.63999938965;1834.70999908447;586;930;1;4043.00999832153;1836.27000045776;602;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;26;92;S;1100;1;4041.20999908447;1832.34999847412;244;1200;1;4042.81000137329;1830.94000053406;252;60;V;R;3;5371;20;172.999992370605;E;150;1050;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;26;93;S;1320;1;4044;1821.72999954224;133;1350;1;4043.36999893188;1819.72999954224;137;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;26;95;S;1455;1;4043.83000183105;1817.10000038147;130;1525;1;4044.18999862671;1817.10000038147;134;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;27;82;S;1040;1;4033.04999923706;1835.4700012207;330;1140;1;4035.04999923706;1835.68999862671;324;60;V;R;3;5371;20;172.999992370605;E;150;1100;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;27;85;S;1250;1;4037.40999984741;1836.95000076294;310;1350;1;4040.09000015259;1833.97999954224;318;60;V;R;3;5371;20;172.999992370605;E;150;1100;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;27;84;S;1530;1;4036.09000015259;1829.96999931335;130;1600;1;4037.41999816895;1829;134;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;27;83;S;1645;1;4038.41999816895;1825.05999946594;123;1715;1;4039.34000015259;1823.12999916077;127;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;28;88;S;550;1;4035.25999832153;1813.93000030518;75;620;1;4033.91999816895;1815.39999961853;81;30;V;R;3;2685;20.9999990463257;165;E;100;500;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;28;89;S;730;1;4039.2799987793;1818.37000083923;121;800;1;4039.33000183105;1820.75;129;30;V;R;3;2593;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;28;94;S;910;1;4045.81999969482;1819.79000091553;343;1010;1;4045.13999938965;1825.12999916077;451;60;V;R;3;5186;20;172.999992370605;E;150;1100;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;28;98;S;1145;1;4048.79999923706;1821.5;550;1245;1;4049.18000030518;1818.69000053406;570;60;V;R;3;5186;18.9999997615814;173.999996185303;E;150;1700;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;28;96;S;1410;1;4047.68999862671;1819.45000076294;358;1510;1;4048.5;1815.68999958038;368;60;V;R;3;5186;20;173.999996185303;E;150;1500;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;29;97;S;710;1;4048.61000061035;1757.90000152588;114;740;1;4048.86999893188;1756.06000137329;118;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;29;101;S;1015;1;4052.9700012207;1732.36999893188;72;1045;1;4053.52000045776;1730.37000083923;76;30;V;R;3;2685;20.9999990463257;165;E;100;500;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;29;102;S;1315;1;4107.26999998093;1713.14000034332;114;1345;1;4107.88999986649;1710.88000011444;118;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;29;103;S;1425;1;4108.60000038147;1708.82999992371;117;1455;1;4108.94999980927;1706.69999980927;121;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;29;80;S;1545;1;4106.28999996185;1700.56000000238;43;1615;1;4106.86999988556;1658.49000167847;45;30;V;R;3;2685;20.9999990463257;151.999998092651;E;100;250;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;30;99;S;630;1;4107.34999990463;1658.70999908447;43;700;1;4106.69000005722;1700.73000001907;47;30;V;R;3;2685;20.9999990463257;155;E;100;300;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;30;104;S;740;1;4107.57000017166;1703.71000003815;79;810;1;4108.31999969482;1701.48000001907;84;30;V;R;3;2685;20.9999990463257;165;E;100;500;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;30;107;S;925;1;4113.10000038147;1707.42999982834;134;955;1;4114.38000011444;1705.53999996185;141;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;30;106;S;1110;1;4113.55000019073;1656.95000076294;113;1140;1;4114.18000030518;1654.79000091553;116;30;V;R;3;2685;18.9999997615814;165;E;100;500;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;30;105;S;1235;1;4111.06000041962;1649.41999816895;55;1305;1;4112.05000019073;1647.11000061035;61;30;V;R;3;2685;20.9999990463257;158.000001907349;E;100;350;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;30;100;S;1340;1;4112;1644.40999984741;39;1410;1;4112.63000011444;1641.95000076294;43;30;V;R;3;2685;20.9999990463257;151.999998092651;E;100;250;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;2;116;S;950;1;4134.4700012207;1710.32999992371;585;1050;1;4132.11000061035;1710.89000034332;603;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1750;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;2;110;S;1300;1;4128.04999923706;1700.69999998808;147;1330;1;4126.14999961853;1659.63999938965;151;30;V;R;3;2685;18.9999997615814;168.999996185303;E;100;700;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;2;108;S;1520;1;4119.87000083923;1645.84000015259;102;1620;1;4118.15999984741;1646.88999938965;107;60;V;R;3;5371;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;4;146;S;950;1;4136.93000030518;1707.53000020981;560;1050;1;4139.20000076294;1705.13000011444;578;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;4;145;S;1215;1;4139.25999832153;1705.38999986649;574;1235;1;4139.36999893188;1705.53999996185;582;20;V;R;3;1790;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;4;143;S;1635;1;4159.86000061035;1700.43999999762;595;1735;1;4202.48000001907;1701.12000000477;609;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;4;144;S;1900;1;4203.66000008583;1700.47999998927;599;2000;1;4206.38999986649;1700.58999997377;605;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;5;139;S;515;1;4157.18000030518;1648.11999893188;230;615;1;4154.63000106812;1649.61000061035;232;60;V;R;3;5371;20;172.000007629395;E;150;900;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;5;140;S;705;1;4154.11000061035;1651.29000091553;268;805;1;4151.04999923706;1652.86000061035;276;60;V;R;3;5371;20;172.000007629395;E;150;900;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;5;141;S;900;1;4149.15999984741;1652.18000030518;237;1000;1;4146;1653.11999893188;241;60;V;R;3;5371;20;172.000007629395;E;150;900;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;5;142;S;1200;1;4135.63999938965;1700.01999999955;227;1300;1;4132.38999938965;1701.44000005722;235;60;V;R;3;5371;20;172.000007629395;E;150;900;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;6;137;S;1005;1;4133.50999832153;1657.58000183105;162;1035;1;4134.93000030518;1657.49000167847;168;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;6;136;S;1130;1;4135.56999969482;1649.50999832153;114;1200;1;4136.75999832153;1647.61999893188;118;30;V;R;3;2685;18.9999997615814;165;E;100;500;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;6;138;S;1300;1;4134.59000015259;1641.11000061035;100;1330;1;4133.20000076294;1640.11000061035;104;30;V;R;3;2685;18.9999997615814;165;E;100;500;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;6;113;S;1445;1;4128.54999923706;1648.56999969482;113;1515;1;4127.36000061035;1649.4700012207;119;30;V;R;3;2778;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;6;111;S;1545;1;4126.95999908447;1649.70000076294;115;1615;1;4125.27000045776;1650.34999847412;117;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;7;132;S;950;1;4155.40000152588;1634.16999816895;112;1020;1;4156.33000183105;1633.88000106812;120;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;7;133;S;1115;1;4154.90999984741;1640.72999954224;145;1145;1;4153.29000091553;1642.09999847412;153;30;V;R;3;2685;18.9999997615814;171.000003814697;E;100;800;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;7;134;S;1220;1;4152.5;1642.5;146;1250;1;4150.81000137329;1642.52000045776;152;30;V;R;3;2685;18.9999997615814;172.000007629395;E;100;900;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;7;135;S;1405;1;4142.90999984741;1642.27000045776;104;1435;1;4141.0299987793;1641.86999893188;108;30;V;R;3;2685;18.9999997615814;167.000007629395;E;100;600;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;131;S;650;1;4127.93000030518;1633.86999893188;80;720;1;4128.12000083923;1635.45000076294;86;30;V;R;3;2685;20.9999990463257;161.000003814697;E;100;400;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;130;S;815;1;4131.84000015259;1631.77000045776;72;845;1;4133.50999832153;1631.81999969482;76;30;V;R;3;2685;20.9999990463257;161.000003814697;E;100;400;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;128;S;925;1;4139.43999862671;1632.36000061035;81;955;1;4138.5;1633.02000045776;85;30;V;R;3;2685;20.9999990463257;161.000003814697;E;100;400;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;127;S;1035;1;4139.65999984741;1630.87000083923;75;1105;1;4141.49000167847;1630;81;30;V;R;3;2685;20.9999990463257;161.000003814697;E;100;400;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;126;S;1150;1;4144.84000015259;1628.70000076294;75;1220;1;4146.41999816895;1628.92000007629;81;30;V;R;3;2685;20.9999990463257;161.000003814697;E;100;400;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;117;S;1315;1;4148.52000045776;1621.59000015259;43;1345;1;4149.61000061035;1620.23999977112;47;30;V;R;3;2685;20.9999990463257;155;E;100;300;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;118;S;1600;1;4148.16999816895;1620.04999923706;34;1630;1;4146.49000167847;1620.77000045776;38;30;V;R;3;2685;20.9999990463257;146.999998092651;E;100;200;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;122;S;1700;1;4144.88999938965;1620.92000007629;36;1730;1;4143.43000030518;1621.22999954224;38;30;V;R;3;2685;20.9999990463257;146.999998092651;E;100;200;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;119;S;1810;1;4143.31999969482;1617.68000030518;20;1840;1;4142.20000076294;1615.68000030518;21;30;V;R;3;2685;20.9999990463257;146.999998092651;E;100;200;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;120;S;1905;1;4141.5299987793;1613.76000022888;15;1935;1;4140.90999984741;1612.11999988556;15;30;V;R;3;2685;20.9999990463257;146.999998092651;E;100;200;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;8;121;S;1950;1;4139.77000045776;1612.14000034332;15;2020;1;4138.86000061035;1612.30000019073;16;30;V;R;3;2685;20.9999990463257;146.999998092651;E;100;200;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;9;123;S;520;1;4135.79000091553;1620.23999977112;33;550;1;4138.27000045776;1621.03000068665;31;30;V;R;3;2315;20.9999990463257;146.999998092651;E;100;200;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;9;129;S;630;1;4138.18999862671;1623.79000091553;56;700;1;4136.38999938965;1624.26000022888;60;30;V;R;3;2685;20.9999990463257;158.000001907349;E;100;350;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;9;124;S;725;1;4135.79000091553;1623.95000076294;39;755;1;4133.84999847412;1623.62000083923;43;30;V;R;3;2315;20.9999990463257;155;E;100;300;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;9;125;S;830;1;4132.38999938965;1623.68000030518;47;900;1;4130.62000083923;1623.26000022888;43;30;V;R;3;2685;20.9999990463257;155;E;100;300;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;9;115;S;1030;1;4120.05999946594;1625.96999931335;27;1100;1;4119.17000007629;1627.57999992371;29;30;V;R;3;2685;20.9999990463257;146.999998092651;E;100;200;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;13;114;S;1010;1;4121.55999946594;1631.45999908447;58;1040;1;4120.05999946594;1633.4700012207;64;30;V;R;3;2685;20.9999990463257;158.000001907349;E;100;350;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;13;112;S;1110;1;4117.45000076294;1634.29000091553;59;1140;1;4118.53000068665;1635.36000061035;63;30;V;R;3;2685;20.9999990463257;158.000001907349;E;100;350;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;7;13;109;S;1220;1;4115.23999977112;1636.59999847412;34;1250;1;4114.25;1638.09000015259;39;30;V;R;3;2685;20.9999990463257;151.999998092651;E;100;250;15;0;0
